,BUILDING.ID,building.type,year.built..year.,floor_area,baseline.annual.site.energy.use.intensity..kWh.m2.,floor_area_2,predicted_cooling_capacity_tons
7,478669911672,Retail,1990s,21456,54.7,460359936,1.0706129999999998
12,466703917206,Retail,1980s,31340,135.0,982195600,5.867758
24,999000000286,Retail,1990s,175000,54.9,30625000000,3.3470089999999995
25,999000000128,Retail,1990s,45650,57.9,2083922500,1.4424290000000002
51,429751923699,Office,1990s,34282,34.6,1175255524,8.615126
80,381005916882,Retail,1960s,67842,105.5,4602536964,5.383948999999999
90,382281907913,Office,1990s,41160,11.2,1694145600,6.512487999999999
91,382270908470,Office,1990s,98370,1.8,9676656900,9.308167999999998
95,382166909827,Office,1990s,21984,24.4,483296256,6.4938709999999995
97,381840910625,Office,1990s,21825,49.5,476330625,9.432651
98,381330910169,Office,1990s,25672,46.5,659051584,9.401434
99,381320910314,Office,1990s,23079,46.3,532640241,9.115422
100,381339909702,Office,1990s,37169,38.8,1381534561,9.448506
108,394040910048,Retail,1990s,230787,36.3,53262639369,2.937908
113,383603911046,Office,1990s,46250,26.3,2139062500,8.581881
127,392323906596,Retail,1990s,74285,44.5,5518261225,1.534086
129,384512909578,Office,1970s,27000,14.2,729000000,9.152344
130,386607907896,Office,1960s,21420,1.6,458816400,6.846379
137,382683907950,Office,1960s,30240,8.5,914457600,8.340798
144,382822907508,Office,1990s,22200,24.0,492840000,6.470342
174,408428903392,Multi Family House,1970s,200984,48.7,40394568256,1.015682
235,426572910020,Multi Family House,1980s,36188,153.9,1309571344,1.606698
294,442593910721,Office,1980s,10800,32.2,116640000,9.572637
309,444128896966,Retail,1960s,99694,81.9,9938893636,4.891818
316,445669895262,Retail,1990s,129802,43.4,16848559204,2.254475
324,437292895970,Retail,1960s,136356,11.3,18592958736,2.1621330000000003
356,446648888100,Multi Family House,1950s,29927,106.3,895625329,1.5165
357,445467889073,Retail,1960s,70165,129.6,4923127225,7.875951
359,449399891254,Retail,1980s,134230,62.0,18017692900,4.539185
403,450696884785,Office,1960s,45000,1.6,2025000000,8.74094
458,420991900560,Retail,1970s,20000,64.8,400000000,1.905684
464,420463899029,Retail,1960s,23900,24.8,571210000,1.048786
533,425370889227,Office,1980s,21280,22.4,452838400,9.29275
538,427023885231,Multi Family House,1970s,25000,272.8,625000000,8.839568
608,412548894732,Office,1990s,20000,2.8,400000000,4.601818
611,400633893574,Multi Family House,1970s,191500,57.2,36672250000,1.121442
613,403740895674,Multi Family House,1970s,175600,59.5,30835360000,1.097399
643,383377902547,Retail,1990s,61171,78.7,3741891241,2.278852
644,381639900770,Retail,1970s,74000,1.9,5476000000,1.259333
656,380388902613,Office,1990s,73450,15.5,5394902500,9.366439
661,370244899060,Retail,1990s,55151,33.2,3041632801,1.092278
669,386591898567,Multi Family House,1970s,25212,153.2,635644944,1.483544
689,382479888785,Retail,1970s,24300,44.0,590490000,1.463392
695,381980890380,Retail,1990s,131732,49.4,17353319824,2.4942900000000003
699,383508891239,Retail,1970s,44000,19.1,1936000000,1.236093
706,378702892165,Retail,1990s,125875,65.0,15844515625,3.040064
707,379328891539,Retail,1990s,212675,75.9,45230655625,5.139801
708,379072892713,Retail,1990s,243474,29.0,59279588676,2.67093
717,379592888001,Office,1990s,495825,42.7,245842430625,8.942499
779,395154885837,Retail,1960s,30742,72.0,945070564,2.283295
785,403510882745,Retail,1960s,66300,7.8,4395690000,1.233647
798,405711881767,Office,1980s,51401,5.7,2642062801,9.850071
863,416331879648,Retail,1960s,35000,36.5,1225000000,1.40404
930,447533873733,Office,1970s,22800,13.2,519840000,8.618985
931,455197870572,Office,1990s,32708,40.9,1069813264,9.312597
943,436274875405,Retail,1980s,52653,86.8,2772338409,3.5309180000000002
953,506565864343,Retail,1990s,19776,83.1,391090176,1.606761
968,492934866245,Retail,1990s,37325,66.5,1393155625,1.5094020000000001
969,493537867216,Retail,1990s,32048,88.6,1027074304,1.9889709999999998
971,490498863361,Retail,1990s,26732,72.4,714599824,1.476325
972,485867866238,Office,1980s,27891,0.7,777907881,7.214374
978,479234864508,Multi Family House,1950s,105000,45.3,11025000000,1.180331
1011,451526858053,Multi Family House,1990s,176706,85.8,31225010436,1.049786
1065,457906859706,Retail,1990s,179517,17.8,32226353289,1.9560490000000001
1107,469595859626,Multi Family House,1950s,98694,39.0,9740505636,1.026348
1134,462579856697,Multi Family House,1950s,69872,60.9,4882096384,1.129263
1140,999000000378,Retail,1990s,124869,59.7,15592267161,2.791219
1151,463310858794,Retail,1950s,65000,36.9,4225000000,3.8491910000000003
1164,469318858071,Retail,1960s,27000,85.2,729000000,2.673394
1169,473600855935,Retail,1970s,60581,113.6,3670057561,5.938086
1214,462478852026,Multi Family House,1950s,75692,49.9,5729278864,1.007052
1215,462672850924,Multi Family House,1950s,65133,104.4,4242307689,2.074747
1251,481217850636,Office,1990s,20000,45.6,400000000,8.7231
1264,494218850770,Retail,1950s,158000,46.1,24964000000,8.312699
1288,493190847369,Office,1990s,26261,8.5,689640121,5.3621099999999995
1323,486962839399,Retail,1950s,24000,3.9,576000000,1.569951
1338,484325838613,Multi Family House,1950s,146664,42.1,21510328896,1.453782
1339,485545839368,Multi Family House,1950s,229628,52.0,52729018384,2.2192380000000003
1347,484827838704,Retail,1950s,55180,4.9,3044832400,2.181425
1349,485063838700,Multi Family House,1950s,267890,34.9,71765052100,1.7560380000000002
1353,484627838402,Multi Family House,1950s,214667,36.7,46081920889,1.719573
1355,485167839050,Retail,1950s,90000,2.6,8100000000,2.840589
1357,485895838764,Multi Family House,1950s,291800,43.2,85147240000,1.9477229999999999
1358,485466838631,Multi Family House,1950s,225283,31.8,50752430089,1.630185
1363,486353839586,Multi Family House,1950s,190954,40.1,36463430116,1.6990509999999999
1365,487566840364,Office,1970s,5000,0.0,25000000,5.793216
1366,486815839826,Multi Family House,1950s,131161,36.4,17203207921,1.22494
1368,486102839500,Multi Family House,1950s,125278,49.5,15694577284,1.437778
1392,482812839478,Multi Family House,1950s,237962,38.9,56625913444,1.843665
1395,484022839520,Multi Family House,1950s,110520,75.1,12214670400,1.9146759999999998
1399,482355839896,Office,1990s,490485,42.9,240575535225,9.489225
1403,483480840182,Multi Family House,1950s,243554,43.0,59318550916,1.970291
1416,484712839477,Retail,1950s,89300,72.4,7974490000,8.016616
1426,999000000496,Multi Family House,1990s,70000,256.8,4900000000,6.927764999999999
1433,483021837990,Multi Family House,1950s,126769,55.2,16070379361,1.579998
1440,482791836625,Office,1960s,547426,51.8,299675225476,8.290572000000001
1441,483517835306,Retail,1950s,43782,17.9,1916863524,2.373987
1481,476334844783,Multi Family House,1950s,166826,22.4,27830914276,1.191774
1485,478172845040,Multi Family House,1980s,8000,255.9,64000000,5.43029
1494,478641843437,Office,1990s,61703,22.8,3807260209,9.420266
1501,478352843891,Multi Family House,1950s,61360,58.7,3765049600,1.013133
1507,481162841402,Multi Family House,1950s,82613,80.9,6824907769,1.6946560000000002
1523,481985840971,Office,1980s,615647,48.4,379021228609,2.905079
1524,482388842442,Office,1970s,18622,14.9,346778884,8.446133999999999
1536,478019842830,Retail,1950s,21000,13.9,441000000,1.7645990000000003
1537,477140842075,Multi Family House,1950s,64640,66.0,4178329600,1.163769
1542,478155842692,Multi Family House,1950s,20475,91.5,419225625,1.098442
1544,478907841613,Office,1960s,35874,11.3,1286943876,9.220289
1550,475823842270,Multi Family House,1980s,100215,92.0,10043046225,1.117102
1582,472683850197,Multi Family House,1950s,15000,125.6,225000000,1.720896
