,Census.Tract.GEOID,BUILDING.ID,BUILDING.ADDRESS,CARBON.DIOXIDE.EMISSIONS,COMPLIANCE.STATUS,X.DIFFERENCE.SOURCE.EUI,X.DIFFERENCE.SITE.EUI,ENERGY.STAR.SCORE,ENERGY.STAR.CERTIFICATION.ELIGIBILITY,ENERGY.STAR.CERTIFICATION.LAST.APPROVAL.DATE,ENERGY.STAR.CERTIFICATION.YEARS.CERTIFIED,ENTITY.RESPONSIBLE.FOR.BENCHMARK,GROSS.BUILDING.FLOOR.AREA,INDOOR.WATER.USE,INDOOR.WATER.USE.INTENSITY,NUMBER.OF.BUILDINGS,OCCUPANCY,OUTDOOR.WATER.USE,POSTAL.CODE,PROGRAM.YEAR,PROPERTY.TYPE,SITE.EUI,Source.EUI,TOTAL.WATER.USE,WEATHER.NORMALIZED.SITE.EUI,WEATHER.NORMALIZED.SOURCE.EUI,YEAR.BUILT,AIN,LADBS.Building.Category,CityOwned,Building.Wave,Longitude,Latitude,CES.Score,CES.Score.Percentile,Disadvantaged.Community,building.type,year.built..year.,floor_area,baseline.annual.site.energy.use.intensity..kWh.m2.,floor_area_2,predicted_cooling_capacity_tons
3795,6037206032.0,617,117 S BOYLE AVE,163.7,1,-52.7,-52.7,,0.0,,Not Available,"Conservice, LLC",90684.0,,,1.0,100.0,,90033,2018,Multifamily Housing,29.3,55.9,2999.7,29.3,55.9,2016.0,911,"50,000 to 99,999",0,4,-118.219826,34.046623,71.5647433016312,99.5081346954219,1.0,Multi Family House,1990s,90684,31.4,8223587856,0.282959
3960,6037207400.0,3626,909 W TEMPLE ST,960.7,0,-3.4,-3.4,55.0,0.0,,Not Available,"RealPage Utility Management, Inc.",342600.0,,,1.0,95.0,,90012,2018,Multifamily Housing,42.3,100.6,10999.3,42.0,99.5,2015.0,061,"100,000+",0,4,-118.24943999999999,34.060772,,,1.0,Multi Family House,1990s,342600,42.3,117374760000,0.553908
7078,6037296600.0,5817,303 S PACIFIC AVE,130.3,1,-16.7,-16.7,75.0,0.0,,Not Available,Unknown,64873.0,,,1.0,100.0,,90731,2018,Multifamily Housing,32.7,61.9,2428.9,32.9,62.2,2000.0,027,"50,000 to 99,999",0,4,-118.28789499999999,33.74139,53.7036735692069,92.1806028502964,1.0,Multi Family House,1990s,64873,32.7,4208506129,0.23267
6962,6037276604.0,6228,7270 W MANCHESTER AVE,606.1,1,-36.9,-36.9,100.0,0.0,,Not Available,Playa Del Oro-West,340691.0,,,1.0,90.0,,90045,2017,Multifamily Housing,27.0,60.2,7116.2,27.5,60.8,2015.0,044,"100,000+",0,5,-118.42151000000001,33.959724,12.9530597151124,19.914238869971,0.0,Multi Family House,1990s,340691,27.0,116070357481,0.44380200000000003
7136,,6522,20600 W VENTURA BLVD,983.9,1,-29.7,-29.7,91.0,0.0,,Not Available,"Conservice, LLC",468945.0,,,2.0,0.0,,91364,2016,Multifamily Housing,33.2,65.7,16177.4,34.0,66.6,2014.0,014,"100,000+",0,2,,,,,,Multi Family House,1990s,468945,33.0,219909413025,0.20991500000000002
5898,6037231900.0,6534,5005 S MAIN ST,133.2,0,-38.7,-38.7,96.0,0.0,,Not Available,WegoWise,82689.0,,,1.0,100.0,,90037,2019,Multifamily Housing,25.3,53.5,4034.4,25.2,53.4,2014.0,028,"50,000 to 99,999",0,3,-118.27396399999999,33.997322,51.4993612175772,90.3644848026233,1.0,Multi Family House,1990s,82689,25.3,6837470721,0.242443
2283,6037139504.0,7903,17720 W MAGNOLIA BLVD,,0,,,,,,,,,,,,,,91316,2020,,,,,,,,005,"50,000 to 99,999",0,2,-118.51898999999999,34.165366999999996,36.8255030939235,71.49703619624171,0.0,Multi Family House,1990s,56466,34.0,3188409156,0.21974000000000002
3467,6037191820.0,10353,710 N EL CENTRO AVE,156.0,1,-34.4,-34.4,94.0,0.0,,Not Available,"Vert Energy Group, Inc.",80000.0,,,2.0,100.0,,90038,2017,Multifamily Housing,33.9,50.7,1303.1,34.7,51.5,2015.0,024,"100,000+",0,2,-118.32441999999999,34.083733,48.474888283882706,87.2619498045151,1.0,Multi Family House,1990s,80000,33.9,6400000000,0.269696
3116,6037190100.0,10713,1411 N HIGHLAND AVE,,0,,,,,,,,,,,,,,90028,2020,,,,,,,,037,"50,000 to 99,999",0,2,-118.338646,34.096554,44.7187878816012,82.4441922058267,1.0,Multi Family House,1990s,136899,23.4,18741336201,0.342147
1495,6037127803.0,11526,14500 W SHERMAN CIR,,0,,,,,,,,,,,,,,91405,2020,,,,,,,,034,"100,000+",0,4,-118.449265,34.19972,48.875884561373205,87.7664270399798,1.0,Multi Family House,1990s,447146,17.6,199939545316,0.20272300000000001
